,client0,client1,client2,client3,test
0,16B0024181,17B0031904,17B0031893,16B0006669,18B0002932D
1,18B0006622E,16B0022612,17B0023487,17B0032153,16B0022616
2,16B0003394,17B0034675,18B0005773,18B0003894H,16B0024174
3,17B0016566,18B0005478B,18B0001966H,16B0028815,16B0024177
4,16B0028822,17B0015969,16B0022786,16B0022610,18B0006623F
5,17B0031109,17B0031108,16B0023613,18B0003032A,16B0006694
6,17B0023980,18B0006623A,17B0027608,18B0006623B,18B0006623G
7,17B0028627,18B0004346A,17B0029587,18B0006623I,18B0005478I
8,18B0006621D,17B0031877,17B0024162,18B001071J,17B0031053
9,17B0034449,18B0001159D,17B00116581,18B0001510G,17B0031103
10,18B0005478G,17B0018428,18B0005125B,17B0017717,18B0006623C
11,18B0003896D,17B0031890,18B0005478A,18B0001071H,17B0034179
12,16B0022613,17B0015685,16B0027039,17B0017506,18B0006623D
13,17B0016579,18B0005478D,18B0004349G,16B0026795,18B0002452G
14,17B0015777,18B0004358D,18B0005478J,18B0005124A,16B0006695
15,18B0005478C,18B0006623H,18B0005477G,17B0016583,17B0031061
16,18B0001971B,17B0034184,17B0031879,17B0022792,16B0028817
17,17B0017511,17B0021010,18B0002930B,16B0024173,17B0034674
18,18B0001506G,16B0008045,17B0019359,17B0015554,18B0004349A
19,18B0005230E,18B0005478F,16B0022615,17B0029534,18B000646G
20,17B0027646,16B0022781,17B0011996,17B0031911,18B0003808K
21,16B0028814,16B0028138,18B0006177A,16B0028816,16B0026796
22,16B0026792,16B0026794,16B0028161,16B0027038,16B0001851
23,18B0006623J,16B0006668,18B0005478H,16B0023614,17B0031079
24,17B0034247,18B0006173F,17B0031932,17B0024636,18B0002933H
25,18B0002933I,18B0002975B,18B0005478E,17B00208864,17B0031124
26,17B00208861,16B0008067,18B0005718B,18B0006179I,16B0028148
27,16B0022608,18B000646H,16B0028914,16B0003388,16B0027040
28,17B0023909,18B0005126C,18B0001510J,18B0003901F,17B0016589
29,,,,,16B0028813
30,,,,,17B0035225
31,,,,,18B0006169B
32,,,,,18B0006174B
33,,,,,16B0024175
34,,,,,17B0035220
35,,,,,16B0028168
36,,,,,18B0003894J
37,,,,,18B0006170D
38,,,,,17B0017454
