,client0,client1,client2,client3,test
0,18B0002932D,16B0028813,17B0015777,16B0006668,17B0031904
1,16B0022616,17B0035225,17B0016583,16B0022615,16B0006669
2,16B0024174,18B0006169B,17B0022792,17B0034247,16B0022612
3,16B0024177,18B0006174B,18B0005478C,16B0028816,17B0032153
4,18B0006623F,16B0024175,16B0027039,18B0002933I,18B0003894H
5,16B0006694,17B0035220,16B0024173,17B0011996,16B0024181
6,18B0006623G,16B0028168,18B0001971B,16B0027038,16B0028815
7,18B0005478I,18B0003894J,17B0021010,16B0023614,17B0031893
8,17B0031053,18B0006170D,17B0017511,18B0006177A,17B0023487
9,17B0031103,17B0017454,16B0008045,16B0028161,17B0034675
10,18B0006623C,18B0005478G,18B0001506G,18B0006173F,18B0005478B
11,17B0034179,17B0024162,18B0005230E,18B0005478H,18B0006622E
12,18B0006623D,17B00116581,18B0004349G,17B0031932,16B0022610
13,18B0002452G,17B0017506,18B0005478J,18B0005478E,16B0003394
14,16B0006695,18B0001159D,17B0027646,17B0024636,18B0003032A
15,17B0031061,17B0018428,18B0005478F,18B0005718B,18B0005773
16,16B0028817,17B0031890,18B0005477G,17B00208864,18B0001966H
17,17B0034674,17B0015685,16B0028814,18B0002975B,18B0006623B
18,18B0004349A,18B0003896D,16B0026792,17B00208861,18B0006623I
19,18B000646G,18B0005478D,17B0015554,16B0008067,16B0022786
20,18B0003808K,18B0005125B,17B0031879,18B0006179I,17B0016566
21,16B0026796,16B0026795,16B0022781,16B0028914,16B0028822
22,16B0001851,16B0022613,18B0006623J,18B000646H,18B001071J
23,17B0031079,17B0016579,16B0028138,16B0022608,17B0015969
24,18B0002933H,18B0004358D,18B0002930B,17B0023909,17B0031108
25,17B0031124,18B0005124A,17B0019359,16B0003388,16B0023613
26,16B0028148,18B0006623H,17B0029534,18B0005126C,18B0001510G
27,16B0027040,18B0005478A,17B0031911,18B0001510J,18B0006623A
28,17B0016589,17B0034184,16B0026794,18B0003901F,17B0031109
29,,,,,18B0004346A
30,,,,,17B0017717
31,,,,,17B0027608
32,,,,,17B0023980
33,,,,,17B0028627
34,,,,,18B0006621D
35,,,,,18B0001071H
36,,,,,17B0034449
37,,,,,17B0029587
38,,,,,17B0031877
