,client0,client1,client2,client3,test
0,16B0006694,18B0006623F,16B0024174,18B0002932D,17B0031904
1,17B0031053,17B0031103,16B0024177,16B0022616,16B0006669
2,18B0006623C,18B0006623D,18B0006623G,18B0005478I,16B0022612
3,17B0031124,18B0002452G,16B0028817,17B0034179,17B0032153
4,16B0027040,17B0034674,18B0004349A,16B0006695,18B0003894H
5,18B0006169B,16B0028813,18B000646G,17B0031061,16B0024181
6,18B0006174B,17B0035220,18B0002933H,18B0003808K,16B0028815
7,18B0003894J,16B0028168,17B0016589,16B0026796,17B0031893
8,17B0017454,18B0006170D,17B0024162,16B0001851,17B0023487
9,18B0005478G,18B0001159D,17B0018428,17B0031079,17B0034675
10,17B0017506,17B0031890,17B0015685,16B0028148,18B0005478B
11,18B0003896D,18B0005125B,17B0015777,17B0035225,18B0006622E
12,18B0005478D,18B0004358D,18B0005478C,16B0024175,16B0022610
13,16B0022613,17B0016583,16B0027039,17B00116581,16B0003394
14,17B0016579,16B0024173,17B0021010,16B0026795,18B0003032A
15,18B0006623H,18B0001971B,17B0027646,18B0005124A,18B0005773
16,18B0005478A,17B0017511,18B0005478F,17B0022792,18B0001966H
17,17B0034184,16B0008045,18B0005477G,18B0005478J,18B0006623B
18,18B0001506G,16B0022781,16B0026792,16B0028814,18B0006623I
19,18B0005230E,16B0006668,18B0006623J,17B0015554,16B0022786
20,18B0004349G,16B0022615,18B0002930B,16B0028138,17B0016566
21,17B0031879,16B0028816,17B0011996,17B0029534,16B0028822
22,17B0019359,16B0027038,16B0023614,16B0026794,18B001071J
23,17B0031911,18B0006177A,17B0031932,16B0028161,17B0015969
24,17B0034247,18B0006173F,18B0005478E,18B0002975B,17B0031108
25,18B0002933I,17B00208864,18B0006179I,17B00208861,16B0023613
26,18B0005478H,16B0028914,17B0023909,16B0008067,18B0001510G
27,17B0024636,18B000646H,18B0001510J,16B0022608,18B0006623A
28,18B0005718B,18B0005126C,18B0003901F,16B0003388,17B0031109
29,,,,,18B0004346A
30,,,,,17B0017717
31,,,,,17B0027608
32,,,,,17B0023980
33,,,,,17B0028627
34,,,,,18B0006621D
35,,,,,18B0001071H
36,,,,,17B0034449
37,,,,,17B0029587
38,,,,,17B0031877
